invoice_number,status,invoice_date,submission_date,po_load,customer,customer_raw,age,invoice_amount,funded,reserves,reserves_excel,released_reserves,fees,carrier,carrier_invoice,carrier_pay,source_sheet,released,release_date,release_amount,release_source
35925,Funded,2025-11-14,2025-11-14,PO# 386873,Ironclad Environmental,IRONCLAD ENVIRONMENTAL SOLUTIONS LLC,43.0,2000.0,350.0,100.0,65.0,65.0,35.0,ROAD WIZARDS INC,35925,1550.0,2025 Invoice List,true,,100.0,triumph
35913,Funded,2025-11-14,2025-11-14,PO# 386875,Ironclad Environmental,IRONCLAD ENVIRONMENTAL SOLUTIONS LLC,43.0,1350.0,282.5,67.5,43.875,43.875,23.625,RUSH TRANSPORT SERVICES LLC,35913,1000.0,2025 Invoice List,true,,67.5,triumph
36205,Funded,2025-11-14,2025-11-14,PO# 386871,Ironclad Environmental,IRONCLAD ENVIRONMENTAL SOLUTIONS LLC,43.0,1600.0,320.0,80.0,52.0,52.0,28.0,DNM EXPRESS LLC,36205,1200.0,2025 Invoice List,true,,80.0,triumph
35909,Paid,2025-11-14,2025-11-14,385570,Ironclad Environmental,IRONCLAD ENVIRONMENTAL SOLUTIONS LLC,43.0,1400.0,330.0,70.0,45.5,45.5,24.5,CB FREIGHT INC,35909,1000.0,2025 Invoice List,true,,70.0,triumph
35614,Funded,2025-11-14,2025-11-14,REF#461201-PO#INV127156,Rentex,"RENTEX, INC/ HQ",43.0,800.0,185.0,40.0,26.0,26.0,14.0,COGE LOGISTICS LLC,35614,575.0,2025 Invoice List,true,,40.0,triumph
35709,Short Paid,2025-11-14,2025-11-14,PO#384881,Ironclad Environmental,IRONCLAD ENVIRONMENTAL SOLUTIONS LLC,55.0,600.0,350.0,30.0,19.5,19.5,10.5,Show Freight Inc,35709.0,350.0,2025 Invoice List,true,,30.0,triumph
36236,Paid,2025-11-13,2025-11-13,36236,Insomniac,"INSOMNIAC/LIVE NATION ENTERTAINMENT, INC.",30.0,875.0,-138.75,43.75,28.4375,28.4375,15.3125,OAIK BOX TRUCK LOGISTICS LLC,36236,970.0,2025 Invoice List,true,,43.75,triumph
35526,Paid,2025-11-12,2025-11-12,REF#460423-PO#INV126686,Rentex,(DNU) RENTEX INCORPORATED/ NJ,34.0,1085.0,330.75,54.25,35.2625,19.5,18.9875,GLOBEMASTER INCORPORATED,35526.0,700.0,2025 Invoice List,true,,54.25,triumph
35935,Paid,2025-11-10,2025-11-10,PO# 386874,Ironclad Environmental,IRONCLAD ENVIRONMENTAL SOLUTIONS LLC,47.0,2000.0,400.0,100.0,65.0,65.0,35.0,EMPIRE HAULING LLC,35935,1500.0,2025 Invoice List,true,,100.0,triumph
35931,Paid,2025-11-05,2025-11-05,PO#INV128200,Rentex,RENTEX INCORPORATED/ NV,41.0,1250.0,287.5,62.5,40.625,40.625,21.875,AXPER LLC,35931,900.0,2025 Invoice List,true,,62.5,triumph
35896,Paid,2025-11-05,2025-11-05,PO#INV128088-REF# TRAN ANA-LV 10/29,Rentex,RENTEX INCORPORATED/ NV,41.0,1500.0,225.0,75.0,48.75,48.75,26.25,ONE WAY LOGISTICS INC,35896,1200.0,2025 Invoice List,true,,75.0,triumph
35799,Paid,2025-11-05,2025-11-05,PO#INV127788-REF# TRAN AAA-PHX,Rentex,RENTEX INCORPORATED/ NV,41.0,1300.0,285.0,65.0,42.25,42.25,22.75,ALENSUE LOGISTICS LLC,35799,950.0,2025 Invoice List,true,,65.0,triumph
35798,Paid,2025-11-05,2025-11-05,PO#INV127787-REF#TR LV-PHX 10/27,Rentex,RENTEX INCORPORATED/ NV,41.0,1000.0,250.0,50.0,32.5,32.5,17.5,SOUTHERN RENAISSANCE TRANSPORT LLC,35798,700.0,2025 Invoice List,true,,50.0,triumph
35735,Paid,2025-11-05,2025-11-05,PO#INV127611-REF#463160,Rentex,RENTEX INCORPORATED/ NV,41.0,625.0,143.75,31.25,20.3125,20.3125,10.9375,COCO-SOLO BROS TRANSPORT LLC,35735,450.0,2025 Invoice List,true,,31.25,triumph
35732,Paid,2025-11-05,2025-11-05,PO#INV127553-REF #444351,Rentex,RENTEX INCORPORATED/ NV,41.0,750.0,112.5,37.5,24.375,24.375,13.125,GUARDIAN TRANSPORTATION LLC,35732,600.0,2025 Invoice List,true,,37.5,triumph
35716,Paid,2025-11-05,2025-11-05,PO#INV127504,Rentex,RENTEX INCORPORATED/ NV,41.0,2150.0,492.5,107.5,69.875,69.875,37.625,JMK FREIGHT LLC,35716,1550.0,2025 Invoice List,true,,107.5,triumph
35613,Paid,2025-11-05,2025-11-05,PO#INV127156 REF#461201,Rentex,RENTEX INCORPORATED/ NV,41.0,800.0,70.0,40.0,26.0,26.0,14.0,COGE LOGISTICS LLC,35613,690.0,2025 Invoice List,true,,40.0,triumph
35582,Paid,2025-11-05,2025-11-05,PO#INV127034-REF#461174,Rentex,RENTEX INCORPORATED/ NV,41.0,650.0,232.5,32.5,21.125,21.125,11.375,QUICKLINK GLOBAL SERVICES LLC,35582,385.0,2025 Invoice List,true,,32.5,triumph
35517,Paid,2025-11-05,2025-11-05,PO#INV126637-REF#395565,Rentex,"RENTEX, INC/ HQ",41.0,1335.0,368.25,66.75,43.3875,43.3875,23.3625,MEMESTIC EXPRESS LLC,35517,900.0,2025 Invoice List,true,,66.75,triumph
35516,Paid,2025-11-05,2025-11-05,PO#INV126637-REF#395565,Rentex,RENTEX INCORPORATED/ NV,41.0,1335.0,368.25,66.75,43.3875,43.3875,23.3625,MEMESTIC EXPRESS LLC,35516,900.0,2025 Invoice List,true,,66.75,triumph
35328,Paid,2025-10-30,2025-10-30,35328,Insomniac,"INSOMNIAC/LIVE NATION ENTERTAINMENT, INC.",34.0,700.0,-35.0,35.0,22.75,22.75,12.25,MC CARRIER LLC,35328,700.0,2025 Invoice List,true,,35.0,triumph
35549,Paid,2025-10-21,2025-10-21,INV126560,Rentex,RENTEX INCORPORATED/ NV,56.0,1425.0,-96.25,71.25,46.3125,46.3125,24.9375,FORCE TRANS INC,35549,1450.0,2025 Invoice List,true,,71.25,triumph
35500,Paid,2025-10-21,2025-10-21,INV126560,Rentex,RENTEX INCORPORATED/ NV,56.0,1425.0,-196.25,71.25,46.3125,46.3125,24.9375,H TRANSPORTE USA LLC,35500,1550.0,2025 Invoice List,true,,71.25,triumph
35186,Paid,2025-10-20,2025-10-20,SANMATEO,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,29.0,4200.0,1490.0,210.0,136.5,136.5,73.5,MKD EXPRESS LLC,35186,2500.0,2025 Invoice List,true,,210.0,triumph
35350,Paid,2025-10-20,2025-10-20,INV126088,Rentex,RENTEX INCORPORATED/ NV,57.0,825.0,33.75,41.25,26.8125,26.8125,14.4375,LOGISTICA INTERNACIONAL DE TRANSPORTACION LLC,35350,750.0,2025 Invoice List,true,,41.25,triumph
35293,Paid,2025-10-15,2025-10-15,INV126040,Rentex,RENTEX INCORPORATED/ NV,34.0,600.0,120.0,30.0,19.5,19.5,10.5,PM4 TEAM LLC,35293,450.0,2025 Invoice List,true,,30.0,triumph
35130,Paid,2025-10-13,2025-10-13,INV125017,Rentex,RENTEX INCORPORATED/ NV,36.0,650.0,167.5,32.5,21.125,21.125,11.375,PM4 TEAM LLC,35130,450.0,2025 Invoice List,true,,32.5,triumph
34735,Paid,2025-10-03,2025-10-03,EV25-0379,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,29.0,2800.0,1160.0,140.0,91.0,91.0,49.0,DESERT EAGLE TRANSPORTATION LLC,34735,1500.0,2025 Invoice List,true,,140.0,triumph
35562,Paid,2025-10-31,2025-10-31,MT2025102100380,Gofo Inc,GOFO INC.,,6800.0,200.0,340.0,,,,DM WORLD TRANSPORTATION LLC,35562.0,6600.0,2025 Invoice List,false,,,
35595,Paid,2025-10-31,2025-10-31,MT2025102200158,Gofo Inc,GOFO INC.,,6800.0,600.0,340.0,,,,AG Carrier LLC,35595.0,6200.0,2025 Invoice List,false,,,
35754,Paid,2025-10-31,2025-10-31,MT2025102700356,Gofo Inc,GOFO INC.,,6900.0,400.0,345.0,,,,ZERO MAX INC.,35754.0,6500.0,2025 Invoice List,false,,,
35839,Paid,2025-10-31,2025-10-31,MT2025102900160,Gofo Inc,GOFO INC.,,6800.0,-200.0,340.0,,,,PROGRESSIVE CARRIERS CO,35839.0,7000.0,2025 Invoice List,false,,,
35910,Paid,2025-10-31,2025-10-31,MT2025103000161,Gofo Inc,GOFO INC.,,6800.0,500.0,340.0,,,,CROSS USA LLC,35910.0,6300.0,2025 Invoice List,false,,,
